Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,6144,1.1777,0.0637399
Intel i9-13900K,NVIDIA GTX 1650,torchrl,6144,32.39474034309386,1.7242355788852255
Intel i9-13900K,NVIDIA GTX 1650,autorally,8192,1.33433,0.07210789999999999
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,8192,1.67893,0.07579580000000001
Intel i9-13900K,NVIDIA GTX 1650,torchrl,8192,34.515250444412175,1.45809072678584
Intel i9-13900K,NVIDIA GTX 1650,autorally,16384,2.5903099999999997,0.0999424
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,16384,3.12843,0.12766
Intel i9-13900K,NVIDIA GTX 1650,torchrl,16384,46.419321298599215,1.730473429964794
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,128,0.165901,0.023169099999999998
Intel i9-13900K,NVIDIA RTX 2080,autorally,128,0.293212,0.137769
Intel i9-13900K,NVIDIA RTX 2080,torchrl,128,24.817154645919818,1.6045874024497833
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,256,0.171244,0.0240126
Intel i9-13900K,NVIDIA RTX 2080,autorally,256,0.291783,0.0281587
Intel i9-13900K,NVIDIA RTX 2080,torchrl,256,28.632213354110718,1.294271898593935
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,512,0.180227,0.0280305
Intel i9-13900K,NVIDIA RTX 2080,autorally,512,0.29943800000000004,0.0315328
Intel i9-13900K,NVIDIA RTX 2080,torchrl,512,28.70388793945313,1.5455365801920655
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,1024,0.203835,0.027832299999999997
Intel i9-13900K,NVIDIA RTX 2080,autorally,1024,0.302238,0.028387
Intel i9-13900K,NVIDIA RTX 2080,torchrl,1024,28.763414621353164,1.5352704451156007
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,2048,0.260856,0.02615
Intel i9-13900K,NVIDIA RTX 2080,autorally,2048,0.32263000000000003,0.033309399999999996
Intel i9-13900K,NVIDIA RTX 2080,torchrl,2048,28.826831579208392,1.342341806093102
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,4096,0.397538,0.03440019999999999
Intel i9-13900K,NVIDIA RTX 2080,autorally,4096,0.40302,0.034771300000000005
Intel i9-13900K,NVIDIA RTX 2080,torchrl,4096,29.09921717643736,1.5903090203732415
Intel i9-13900K,NVIDIA RTX 2080,autorally,6144,0.518005,0.039834100000000004
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,6144,0.5761649999999999,0.042399599999999996
Intel i9-13900K,NVIDIA RTX 2080,torchrl,6144,29.13836264610293,1.5853371887459538
Intel i9-13900K,NVIDIA RTX 2080,autorally,8192,0.580367,0.04367480000000001
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,8192,0.704521,0.0427607
Intel i9-13900K,NVIDIA RTX 2080,torchrl,8192,29.41722679138182,1.2764228122914218
Intel i9-13900K,NVIDIA RTX 2080,autorally,16384,1.19245,0.059349599999999995
